,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.274255800247192,0.13870748926974166,0.021730709075927734,0.0023852602702346187,0.3,0.5,0.1,5,1,10,0.8,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'subsample': 0.8}",-57.777335802293756,-57.22409994244084,-57.84805600531147,-57.369214776792255,-57.52880515964889,-57.54950233729744,0.23658447821900658,970
1,2.415231466293335,0.02047698262857449,0.02560248374938965,0.004811713843407545,0.3,0.5,0.1,5,1,10,1.0,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'subsample': 1.0}",-57.70615600989696,-57.204980626716434,-57.73887868410496,-57.16424702619629,-57.68539618681011,-57.49993170674495,0.25834145580254775,961
2,2.8938912868499758,0.04328499996006103,0.0235654354095459,0.00269359569231763,0.3,0.5,0.1,5,1,15,0.8,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 15, 'subsample': 0.8}",-45.5304906879103,-44.874621795950596,-45.40419526081973,-44.91376399791546,-45.21054713814355,-45.18672377614793,0.2599814514232074,805
3,2.2693714618682863,0.298546430679292,0.022251033782958986,0.002945857765535221,0.3,0.5,0.1,5,1,15,1.0,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 15, 'subsample': 1.0}",-45.49821347626649,-44.93789032895069,-45.37759965487925,-44.61253190061712,-45.35698467192629,-45.15664400652797,0.33152334417363616,802
4,2.6443883419036864,0.013758343458763115,0.024635887145996092,0.002972802654015342,0.3,0.5,0.1,5,1,20,0.8,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 20, 'subsample': 0.8}",-39.457574346208766,-38.7880462871385,-39.257319283195855,-38.820484270106185,-39.13269176463255,-39.09122319025637,0.2564123716541159,523
5,2.7237147808074953,0.037629553440801336,0.024086952209472656,0.0016341350013277193,0.3,0.5,0.1,5,1,20,1.0,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 20, 'subsample': 1.0}",-39.46207710846129,-38.757624051644136,-39.035712164047425,-38.64265884160647,-39.32817343357036,-39.045249119865936,0.3158131741731119,512
6,1.577777338027954,0.086535911133691,0.022006988525390625,0.0029809683195904744,0.3,0.5,0.1,5,5,10,0.8,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 10, 'subsample': 0.8}",-57.7631308548883,-57.19394101018997,-57.79934988084825,-57.35327054875219,-57.591658737167286,-57.5402702063692,0.2342403515874845,967
7,1.5660596370697022,0.018155834019188632,0.02061614990234375,0.0014011669960896154,0.3,0.5,0.1,5,5,10,1.0,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 10, 'subsample': 1.0}",-57.7075705856967,-57.13108083576578,-57.73709623628153,-57.15814970890879,-57.68145610687267,-57.48307069470509,0.27704023404419353,958
8,2.0483230113983155,0.03799900332142615,0.022991085052490236,0.0021498918341634255,0.3,0.5,0.1,5,5,15,0.8,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 15, 'subsample': 0.8}",-45.50800194164862,-44.8296657694202,-45.35524991459235,-44.89742883643155,-45.1432576103081,-45.14672081448016,0.2594959822973031,799
9,2.103631544113159,0.015678368626530843,0.02291698455810547,0.002023243400507453,0.3,0.5,0.1,5,5,15,1.0,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 15, 'subsample': 1.0}",-45.4929521822321,-44.808631228174924,-45.37410949874434,-44.61342733464057,-45.34760277605615,-45.12734460396962,0.3489311257460742,793
10,2.5898009300231934,0.022975242051460225,0.02189211845397949,0.0006787443286800104,0.3,0.5,0.1,5,5,20,0.8,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 20, 'subsample': 0.8}",-39.53681369286848,-38.7880528598332,-39.22463172065951,-38.810443438069754,-39.19596961898765,-39.11118226608372,0.28145274604517706,529
11,2.6711472988128664,0.02521042737673269,0.02342567443847656,0.0026331474472674216,0.3,0.5,0.1,5,5,20,1.0,"{'colsample_bytree': 0.3, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 20, 'subsample': 1.0}",-39.44703726154547,-38.72473789266483,-39.040494122000986,-38.51368142248108,-39.567038816427534,-39.05859790302398,0.4045050115493826,514
